RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
1943.4244,3778553.0,-0.019313720986247063,6.1057954,4.6105695,1.574283,7.2583404,20.698929,511062.5,499852.7,459013.2,398.4375,421.875,2226.5625,2
1883.2421,3548317.5,-0.229658842086792,6.0226417,4.3202124,1.552894,6.708832,22.15396,653687.94,509896.28,488539.5,398.4375,2085.9375,375.0,2
1887.4724,3564292.0,-0.27926105260849,6.020193,4.310529,1.5558056,6.7063456,22.262209,695466.94,589360.56,498478.9,398.4375,375.0,2085.9375,2
1901.2955,3616690.8,-0.2688807249069214,5.8768086,4.27919,1.5422614,6.59963,21.789246,671880.9,556565.3,510685.25,398.4375,2085.9375,375.0,2
2113.7122,4469947.0,0.15870238840579987,6.6270146,5.289264,1.5644811,8.274954,23.401104,651284.7,607828.9,520433.16,421.875,398.4375,492.1875,2
2089.137,4366619.0,0.30350151658058167,6.6180615,5.351484,1.5706729,8.40543,21.815044,702398.4,620016.94,529905.9,398.4375,375.0,914.0625,2
2094.2766,4388135.5,0.32899239659309387,6.533045,5.3383503,1.5571235,8.312471,21.325388,742345.6,658914.7,569277.6,398.4375,375.0,2343.75,2
2088.1055,4362236.5,0.3401755094528198,6.600888,5.3541274,1.5585889,8.344883,21.390497,701550.2,562211.8,513285.12,398.4375,375.0,2343.75,2
2067.5364,4276715.5,0.17090743780136108,6.1520696,5.049363,1.5573876,7.863816,21.464087,541015.7,510996.9,451239.25,726.5625,421.875,703.125,2
2145.7556,4606216.5,0.2831328511238098,5.9417763,4.8652987,1.5453569,7.518623,20.38372,758393.9,586434.3,510671.47,398.4375,375.0,421.875,2
2164.6433,4687948.0,0.26788854598999023,5.773981,4.8228464,1.5290229,7.374243,19.79327,843785.94,642607.8,431937.88,398.4375,375.0,1945.3125,2
2166.3315,4695132.5,0.25784555077552795,5.765411,4.819088,1.5418636,7.4303765,20.220554,802406.25,563944.06,507037.5,398.4375,375.0,421.875,2
2282.5403,5212176.5,0.14461325109004974,5.1914463,4.486249,1.5263216,6.847459,19.661877,674211.94,643284.56,505864.84,398.4375,421.875,1664.0625,2
2243.855,5037309.5,0.12074746191501617,4.9075694,4.3887916,1.5098528,6.6264286,19.263823,739058.8,575388.4,496763.9,398.4375,375.0,890.625,2
2232.9143,4988341.5,0.1111883670091629,4.984769,4.4102955,1.5221887,6.713301,19.719765,795356.0,653871.94,480438.72,398.4375,375.0,890.625,2
2227.3264,4963214.0,0.12062638998031616,5.020248,4.42136,1.5182807,6.712866,19.56071,777293.2,583606.3,493798.2,398.4375,375.0,867.1875,2
1990.2666,3963008.0,0.28845569491386414,4.964569,4.0034575,1.4984077,5.9988117,15.676149,683143.7,662646.06,399141.22,398.4375,421.875,1968.75,2
1902.062,3619212.2,-0.048908356577157974,5.3011045,4.1891103,1.5174446,6.356743,18.545204,663628.25,542974.94,406131.16,398.4375,375.0,1171.875,2
1903.6897,3625798.8,-0.06065262854099274,5.3265643,4.1855288,1.5247133,6.381731,18.703028,698576.44,607561.25,396021.8,398.4375,375.0,1523.4375,2
1915.0638,3669241.0,-0.0723518580198288,5.2319093,4.1606693,1.5189546,6.3198686,18.521757,619820.6,515254.28,428150.25,398.4375,375.0,1523.4375,2
2032.0953,4130838.0,-0.19710731506347656,6.5257034,4.4019547,1.5825471,6.9663005,20.78616,510233.38,477499.12,466128.06,398.4375,421.875,773.4375,2
2170.9902,4715460.0,-0.24984197318553925,6.6782103,4.120328,1.5732692,6.482385,21.453653,802876.1,603741.25,599955.25,398.4375,2156.25,375.0,2
2147.937,4615887.0,-0.24140127003192902,6.899388,4.1645503,1.5906479,6.624333,22.1342,848907.4,647559.8,545526.0,398.4375,375.0,2156.25,2
2164.049,4685171.5,-0.24347135424613953,6.753905,4.1335435,1.5820549,6.539493,21.82977,738273.0,593222.7,592992.8,398.4375,375.0,2132.8125,2
2238.66,5013637.0,-0.3758864402770996,6.1563454,4.0058784,1.5492104,6.205949,20.470905,617409.44,550647.06,527379.1,421.875,398.4375,960.9375,2
2170.0918,4711437.0,0.007704318966716528,6.0748205,4.6942325,1.5523297,7.286996,21.139761,818829.3,635715.44,560748.5,398.4375,1757.8125,421.875,2
